,,,,,,,,
,Janeiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,01,01,,Fiódor Dostoiévski,Noites Brancas,1848,288,
,02,02,,Jon Fosse,Melancholy I-II,1995,416,
,03,03,,Philip Roth,The Breast,1972,96,
,04,04,,Dyonélio Machado,Os Ratos,1935,208,
,05,05,,Daniel Guebel,Derrumbe,2007,190,
,06,06,,Mario Levrero,Diario de un Canalla,1987,80,
,07,07,,Mario Levrero,"Burdeos, 1972",2003,104,
,08,08,,Sophie Calle,Histórias Reais,1994,152,
,09,09,,Thomas Pynchon,Inherent Vice,2009,369,
,10,10,,Vladimir Nabokov,Lolita,1955,317,
,11,11,,Denis Johnson,Sonhos de Trem,2002,88,
,12,12,,Daniel Guebel,Las Mujeres que Amé,2015,201,
,13,13,,Ivan Turguêniev,O Rei Lear da Estepe,1870,136,
,,,,,,,,
,Fevereiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,14,01,,Washington Cucurto,Noites Vazias,2003,69,
,15,02,,Richard Laymon,Alarums,1992,309,
,16,03,,Miguel de Unamuno,"San Miguel Bueno, Mártir",1931,83,
,17,04,,Miguel de Unamuno,Cómo se Hace Una Novela,1927,135,
,18,05,,Steve Alten,Meg,1997,506,
,19,06,,Fabián Casas,Ocio,2006,104,
,20,07,,Edward Lee,The Bighead,1997,354,
,21,08,,Mariana Enriquez,Éste es el Mar,2017,128,
,22,09,,Adam Nevill,The Ritual,2011,433,
,23,10,,Washington Cucurto,Coisa de Negros,2003,115,
,24,11,,Douglas Preston & Lincoln Child,The Relic,1995,482,
,,,,,,,,
,Março,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,25,01,,Mariana Enriquez,Nuestra Parte de Noche,2019,669,
,26,02,,César Aira,El Bautismo,1991,154,
,27,03,,Akiyuki Nozaka,The Pornographers,1963,326,
,28,04,,Junnosuke Yoshiyuki,The Dark Room,1970,170,
,29,05,,Caroline Blackwood,The Stepdaughter,1976,102,
,30,06,,Shirley Jackson,The Sundial,1958,240,
,31,07,,Thomas Harris,Hannibal Rising,2006,368,
,32,08,,Alan Burns,The Day Daddy Died,1981,136,
,33,09,,Eduard Limonov,His Butler's Story,1982,346,
,34,10,,João Gilberto Noll,Canoas e Marolas,1999,108,
,35,11,,Emily Brontë ,O Morro dos Ventos Uivantes,1847,464,
,36,12,,Jamil Snege,Viver é Prejudicial à Saúde,1998,80,
,37,13,,Manuel Puig,El Beso de la Mujer Araña,1976,306,
,38,14,,Juan Pablo Villalobos,Fiesta en la Madriguera,2010,104,
,39,15,,Juan Villoro,Arrecife,2012,240,
,,,,,,,,
,Abril,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,40,01,,José Almino,O Motor da Luz,1994,80,
,41,02,,Salvador Elizondo,Autobiografía,1966,62,
,42,03,,Lydia Zinovieva-Annibal,The Tragic Menagerie,1907,218,
,43,04,,Sergio Bizzio,Raiva,2004,224,
,44,05,,Margarita Karapanou,Kassandra and the Wolf,1976,132,
,45,06,,Freida McFadden,The Housemaid,2022,336,
,46,07,,Freida McFadden,The Housemaid's Secret,2023,327,
,47,08,,Georges Arnaud,The Wages of Fear,1950,190,
,48,09,,Kōji Suzuki,S ,2012,240,
,49,10,,Jim Dodge,Fup,1983,102,
,50,11,,Mikhail Bulgakov,The Fatal Eggs,1924,142,
,51,12,,Margarita Karapanou,Rien Ne Va Plus,1991,192,
,52,13,,César Aira,Atos de Caridade,2013,81,
,,,,,,,,
,Maio,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,53,01,,Madeleine Bourdouxhe,La Femme de Gilles,1937,137,
,54,02,,Mian Mian,Candy,2000,279,
,55,03,,Bentley Little,The Revelation,1990,326,
,56,04,,Margarita Liberaki,The Other Alexander,1950,146,
,57,05,,Sophie Jabès,"Alice, the Sausage",2007,115,
,58,06,,Willem Frederik Hermans,An Untouched House,1951,104,
,59,07,,Cees Nooteboom,A Seguinte História:,1991,102,
,60,08,,Gerald Murnane,Tamarisk Row,1974,281,
,61,09,,Mary Butts,Armed with Madness,1928,198,
,62,10,,László Krasznahorkai,"A Mountain to the North, a Lake to the South, Paths to the West, a River to the East",2003,130,
,63,11,,Muriel Spark,Realidade e Sonhos,1996,152,
,,,,,,,,
,Junho,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,64,01,,Patrick White,The Solid Mandala,1966,316,
,65,02,,Fay Weldon,The Life and Loves of a She Devil,1983,288,
,66,03,,Rayner Heppenstall,The Blaze of Noon,1939,334,
,67,04,,Christos Tsiolkas,The Slap,2008,690,
,68,05,,Elizabeth Jolley,The Well,1986,200,
,69,06,,Murray Bail,Holden's Performance,1987,384,
,70,07,,Murray Bail,Camouflage,2000,102,
,71,08,,Helen Garner,The Children's Bach,1984,96,
,72,09,,Washington Cucurto,El Amor Es Más Que Una Novela De 500 Páginas,2008,121,
,,,,,,,,
,Julho,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,73,01,,Jerome K. Jerome,Three Men in a Boat,1889,268,
,74,02,,Noemi Jaffe,Lili,2021,112,
,75,03,,Alberto Laiseca,La Hija de Kheops,1989,313,
,76,04,,Elizabeth Jolley,Milk and Honey,1984,185,
,77,05,,Colombe Schneck,Dezessete Anos,2015,80,
,78,06,,Carlos Fuentes,Instinto de Inez,2000,145,
