,Janeiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,01,01,,Kurt Vonnegut,Matadouro Nº 5,1969,288,
,02,02,,Richard Brautigan,In Watermellon Sugar,1968,160,
,03,03,,Rikki Ducornet,Gazelle,2003,208,
,04,04,,Muriel Spark,Realidade e Sonhos,1996,152,
,05,05,,Amos Tutuola,O Bebedor de Vinho de Palmeira,1952,144,
,06,06,,Richard Matheson,I am Legend,1954,159,
,07,07,,Harry Mathews,The Solitary Twin,2017,160,
,08,08,,Muriel Spark,O Banquete,1990,170,
,09,09,,Sérgio Sant'Anna,Amazona,1986,304,
,,,,,,,,
,Fevereiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,10,01,,B.S. Johnson,Christie Malry's Own Double Entry,1973,187,
,11,02,,Imre Kertész,História Policial,1977,120,
,12,03,,Jennifer Egan,O Torreão,2006,240,
,13,04,,Leonardo Sciascia,A Cada um o Seu,1966,135,
,14,05,,Nathanael West,Um Milhão de Dólares,1934,121,
,15,06,,Sándor Márai ,O Legado de Eszter,1939,120,
,16,07,,Ismail Kadaré,A Filha de Agamenon,1985,217,
,17,08,,Ismail Kadaré,O Sucessor,2003,,
,18,09,,Lourenço Mutarelli,O Filho Mais Velho de Deus e/ou Livro IV,2018,336,
,,,,,,,,
,Março,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,19,01,,Maurice Dantec,Raízes do Mal,1995,543,
,20,02,,B.S. Johnson,Albert Angelo,1964,180,
,21,03,,Muriel Spark,Uma Escola para a Vida,2004,122,
,22,04,,Marcelo Mirisola,A Vida Não tem Cura,2016,88,
,23,05,,Marcelo Mirisola,Como se me Fumasse,2017,176,
,24,06,,Marcelo Mirisola,Quanto Custa um Elefante?,2020,128,
,25,07,,Frédéric Beigbeder,Windows on the World,2003,352,
,26,08,,Bernardo Carvalho,O Último Gozo do Mundo,2021,144,
,27,09,,Peter Straub,The Hellfire Club,1996,526,
,,,,,,,,
,Abril,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,28,01,,Akira Yoshimura,Naufrágios,1996,191,
,29,02,,Antonio Xerxenesky,As Perguntas,2017,184,
,30,03,,Michel Houellebecq,Aniquilar,2022,480,
,31,04,,Jamil Snege,Viver é Prejudicial à Saúde,1998,80,
,32,05,,Bae Su-ah,Noite e Dia Desconhecidos,2013,160,
,33,06,,Unica Zürn,Dark Spring,1969,115,
,34,07,,Tove Ditlevsen ,The Faces,1968,144,
,,,,,,,,
,Maio,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,35,01,,Clara Drummond,Os Coadjuvantes,2022,112,
,36,02,,Ann Quin,Berg,1964,168,
,37,03,,Nina Berberova,O Lacaio e a Meretriz,1937,64,
,38,04,,Hiroko Oyamada,The Hole,2014,92,
,,,,,,,,
,Junho,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,39,01,,Hiroko Oyamada,The Factory,2010,116,
,40,02,,Julián Fuks ,A Resistência,2015,144,
,41,03,,Gen'ichiro Takahashi,"Sayonara, Gangsters",1982,296,
,42,04,,Louis Armand,Breakfast at Midnight,2012,164,
,43,05,,"Yukiko Motoya",The Lonesome Bodybuilder,2012,224,
,,,,,,,,
,Julho,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,44,01,,Dag Solstad,"Romance 11, Livro 18",1992,160,
,45,02,,Cormac McCarthy,No Country for Old Men,2005,309,
,46,03,,Yukio Mishima,Vida à Venda,1968,256,
,47,04,,Mario Levrero,Nick Carter (se divierte mientras el lector es asesinado y yo agonizo),1973,160,
,48,05,,Pedro Juan Gutiérrez,Nosso GG em Havana,2004,128,
,49,06,,Muriel Spark,Memento Mori,1959,256,
,,,,,,,,
,Agosto,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,50,01,,Leïla Slimani,Canção de Ninar,2016,192,
,51,02,,Richard Brautigan,Sombrero Fallout,1976,224,
,52,03,,Pierre Louÿs,Esse Obscuro Objeto do Desejo,1898,112,
,53,04,,Lars Gustafsson,A Tiler's Afternoon ,1991,130,
,,,,,,,,
,Setembro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,54,01,,Richard Brautigan,Pescar Truta na América,1967,208,
,55,02,,Ahmed Saadawi,Frankenstein in Baghdad,2013,281,
,56,03,,Milan Kundera,A Festa da Insignificância,2013,136,
,57,04,,Georges Rodenbach,Bruges-la-Morte,1892,172,
,,,,,,,,
,Outubro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,58,01,,Richard Laymon,To Wake The Dead,2003,386,
,59,02,,Richard Laymon,The Woods are Dark,1981,254,
,60,03,,Stephen King,If it Bleeds,2020,480,
,,,,,,,,
,Novembro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,61,01,,Heinrich Böll,Fim de uma Viagem,1966,216,
,62,02,,Thomas Bernhard,Mestres Antigos,1985,184,
,63,03,,Nikolai Leskov,Lady Macbeth do Distrito de Mtsensk,1865,96,
,64,04,,Iuri Oliécha,Inveja,1927,192,
,65,05,,Péter Nádas,A Bíblia,1967,112,
,66,06,,Jon Fosse,Brancura,2023,96,
,67,07,,César Aira,Pinceladas Musicais,2019,80,
,,,,,,,,
,Dezembro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
